0,1,2,3
4.0,2.5,2008-07-10,000063
0.0,1.5,2007-07-27,000063
0.0,2.5,2006-07-14,000063
0.0,2.5,2005-07-08,000063
2.0,3.0,2004-05-25,000063
2.0,2.0,2003-05-23,000063
0.0,1.5,2002-05-23,000063
2.0,1.5,2001-10-17,000063
2.0,0.0,2000-06-12,000063
0.0,1.9,1999-06-18,000063
3.0,0.0,1998-09-21,000063
0.0,1.2,1998-06-19,000063
0.0,0.973733,2021-06-25,000065
0.0,0.919997,2020-06-03,000065
0.0,0.8,2019-06-27,000065
5.0,1.2,2018-06-01,000065
0.0,0.9,2017-06-27,000065
5.0,0.0,2016-10-19,000065
0.0,0.8,2016-06-24,000065
0.0,0.8,2015-05-07,000065
2.0,0.8,2014-06-13,000065
3.0,0.6,2013-06-07,000065
0.0,0.6,2012-06-21,000065
0.0,0.6,2011-06-17,000065
0.0,0.8,2010-05-25,000065
0.0,0.6,2009-06-11,000065
0.0,0.6,2007-06-06,000065
0.0,0.6,2005-06-09,000065
6.0,0.0,2002-09-13,000065
0.0,0.6,2002-06-03,000065
6.0,0.6,1999-04-29,000065
0.0,0.864862,2021-07-16,000066
0.0,0.87,2020-07-17,000066
0.0,0.5,2019-07-17,000066
0.0,0.6,2018-07-20,000066
0.0,0.23,2012-08-01,000066
0.0,0.5,2011-06-17,000066
10.0,0.85,2010-05-27,000066
2.0,0.23,2008-06-27,000066
